id,cards,game_state,query,expected_decision,expected_explanation,baseline_decision,baseline_explanation,baseline_raw
case_011,"['Macro Cosmos', 'Mathmech Circular']","Player A controls a face-up ""Macro Cosmos"".","Can Player B activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field?",NO,"Since ""Macro Cosmos"" banishes all cards sent to the Graveyard, Player B are not able to pay the cost required by ""Mathmech Circular"" for summoning itself.",NO,"The effect of ""Macro Cosmos"" negates the activation of all card effects, except for Spell Speed 3 effects. Since ""Mathmech Circular"" is a Level 4 Effect Monster, its effect is of the Monster Type and is considered a Card Effect. Therefore, Player B cannot activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a face-up ""Macro Cosmos"".

### Query
Can Player B activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The effect of ""Macro Cosmos"" negates the activation of all card effects, except for Spell Speed 3 effects. Since ""Mathmech Circular"" is a Level 4 Effect Monster, its effect is of the Monster Type and is considered a Card Effect. Therefore, Player B cannot activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field."
case_012,"['Green Baboon, Defender of the Forest', 'Raigeki']","Player A controls a face-up Beast-Type monster. Player B activates ""Raigeki"" and destroys the Beast-Type monster.","Can Player A Special Summon multiple ""Green Baboon, Defender of the Forest""?",NO,"Even though the effect of ""Green Baboon, Defender of the Forest"" is not an Only once per chain effect, Player A cannot Special Summon multiple ""Green Baboon, Defender of the Forest"", even if Player A has multiple copies of ""Green Baboon, Defender of the Forest"" in their Hand/Graveyard.",NO,"""Green Baboon, Defender of the Forest"" is a monster that can only be Special Summoned from the hand when a Beast-Type monster is destroyed by a card effect. Since Player A's Beast-Type monster was destroyed, Player A can Special Summon one ""Green Baboon, Defender of the Forest"" if they have it in their hand. However, they cannot Special Summon multiple ""Green Baboons"" in the same turn due to the normal summoning and special summoning limitations.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a face-up Beast-Type monster. Player B activates ""Raigeki"" and destroys the Beast-Type monster.

### Query
Can Player A Special Summon multiple ""Green Baboon, Defender of the Forest""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: ""Green Baboon, Defender of the Forest"" is a monster that can only be Special Summoned from the hand when a Beast-Type monster is destroyed by a card effect. Since Player A's Beast-Type monster was destroyed, Player A can Special Summon one ""Green Baboon, Defender of the Forest"" if they have it in their hand. However, they cannot Special Summon multiple ""Green Baboons"" in the same turn due to the normal summoning and special summoning limitations."
case_013,"['Peten the Dark Clown', 'Soul Taker']","Player A's ""Peten the Dark Clown"" is destroyed by the effect of Player B's ""Soul Taker""","Can Player A activate the effect of ""Peten the Dark Clown""?",NO,"The effect of ""Peten the Dark Clown"" is a ""When...You can..."" effect, and misses timing due to the effect of ""Soul Taker"".",NO,"Once a card is destroyed, its effects cannot be activated.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A's ""Peten the Dark Clown"" is destroyed by the effect of Player B's ""Soul Taker""

### Query
Can Player A activate the effect of ""Peten the Dark Clown""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: Once a card is destroyed, its effects cannot be activated."
case_014,"['Light and Darkness Dragon', 'Formula Synchron']","Player A controls ""Formula Synchron"". Player B. controls ""Light and Darkness Dragon"" with the following stats ATK/DEF 2800/2400, and tries to leave Main Phase 1 and enter the Battle Phase.","Can Player A activate the quick effect of ""Formula Synchron"" multiple times?",YES,"The quick effect of ""Formula Synchron"" can be activated multiple times, just not on the same chain, each activation is negated by the quick effect of ""Light and Darkness Dragon"" until it no longer can pay the cost to activate the quick effect",NO,"The quick effect of ""Formula Synchron"" can only be activated once per turn. Since Player A has already activated it during their turn, they cannot activate it again during the Battle Phase.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Formula Synchron"". Player B. controls ""Light and Darkness Dragon"" with the following stats ATK/DEF 2800/2400, and tries to leave Main Phase 1 and enter the Battle Phase.

### Query
Can Player A activate the quick effect of ""Formula Synchron"" multiple times?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

### Ruling
Decision: NO
Explanation: The quick effect of ""Formula Synchron"" can only be activated once per turn. Since Player A has already activated it during their turn, they cannot activate it again during the Battle Phase."
case_015,"['Future Visions', 'Book of Moon']","Player A Normal Summons a monster, triggering the effect of Player B's ""Future Visions"". Player A chains ""Book of Moon"" targeting the Normal Summoned monster","Is the monster still banished by the effect of ""Future Vision""?",YES,"The monster still banished by the effect of ""Future Vision"" after being flipped face-down by ""Book of Moon"", since the target do not need to meet the target requirements at resolution, only when targeted.",NO,"The effect of ""Future Visions"" is a continuous effect that banishes a monster when a monster is Normal Summoned or Set. Once ""Book of Moon"" is activated, the effect of the Normal Summon is no longer being applied, and the monster is no longer considered to be Normal Summoned or Set. Therefore, the effect of ""Future Visions"" no longer applies and the monster is not banished.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Normal Summons a monster, triggering the effect of Player B's ""Future Visions"". Player A chains ""Book of Moon"" targeting the Normal Summoned monster

### Query
Is the monster still banished by the effect of ""Future Vision""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: The effect of ""Future Visions"" is a continuous effect that banishes a monster when a monster is Normal Summoned or Set. Once ""Book of Moon"" is activated, the effect of the Normal Summon is no longer being applied, and the monster is no longer considered to be Normal Summoned or Set. Therefore, the effect of ""Future Visions"" no longer applies and the monster is not banished."
case_016,"['Spirit Reaper', 'Book of Moon']","Player A controls ""Spirit Reaper"". Player B activates ""Book of Moon"" targeting ""Spirit Reaper"".","Is ""Spirit Reaper"" destroyed?",NO,"""Spirit Reaper"" is face-down after the effect of ""Book of Moon"" finishes resolving, so ""Spirit Reaper"" is not destroyed.",NO,"""Book of Moon"" only turns a monster face-down, it does not destroy it.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Spirit Reaper"". Player B activates ""Book of Moon"" targeting ""Spirit Reaper"".

### Query
Is ""Spirit Reaper"" destroyed?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: ""Book of Moon"" only turns a monster face-down, it does not destroy it."
case_017,['Karakuri Anatomy'],"Player A Flip Summons a ""Karakuri"" monster, while controlling a face-up ""Karakuri Anatomy"".","Will a Karakuri Counter be placed on ""Karakuri Anatomy""?",YES,Flip Summmoning a monster counts as changing its battle position.,YES,"When a ""Karakuri"" monster is Flip Summoned, if the controller of ""Karakuri Anatomy"" in their Graveyard is sent there by the effect of that monster, a Karakuri Counter is placed on ""Karakuri Anatomy"". In this case, Player A Flip Summoned a ""Karakuri"" monster, and ""Karakuri Anatomy"" was sent to the Graveyard by that monster's effect. Therefore, a Karakuri Counter is placed on ""Karakuri Anatomy"".","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A Flip Summons a ""Karakuri"" monster, while controlling a face-up ""Karakuri Anatomy"".

### Query
Will a Karakuri Counter be placed on ""Karakuri Anatomy""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: YES
Explanation: When a ""Karakuri"" monster is Flip Summoned, if the controller of ""Karakuri Anatomy"" in their Graveyard is sent there by the effect of that monster, a Karakuri Counter is placed on ""Karakuri Anatomy"". In this case, Player A Flip Summoned a ""Karakuri"" monster, and ""Karakuri Anatomy"" was sent to the Graveyard by that monster's effect. Therefore, a Karakuri Counter is placed on ""Karakuri Anatomy""."
case_018,"['Torrential Tribute', 'Battle Fader']","Player A controls a set ""Torrential Tribute"" and declares a direct attack on Player B. Player B Special Summons ""Battle Fader""","Can Player A activate ""Torrential Tribute""?",NO,"When Player B resolve the effect of ""Battle Fader"" they Special Summon ""Battle Fader"" and then end the Battle Phase. ""Torrential Tribute"" cannot be activated because ending the Battle Phase is the last thing to happen.",NO,"Torrential Tribute can only be activated when a player declares an attack, but the attack has not yet resolved. Since Player B has already Special Summoned Battle Fader in response to the attack declaration, the attack has already resolved and Torrential Tribute cannot be activated.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls a set ""Torrential Tribute"" and declares a direct attack on Player B. Player B Special Summons ""Battle Fader""

### Query
Can Player A activate ""Torrential Tribute""?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: Torrential Tribute can only be activated when a player declares an attack, but the attack has not yet resolved. Since Player B has already Special Summoned Battle Fader in response to the attack declaration, the attack has already resolved and Torrential Tribute cannot be activated."
case_019,"['Archlord Kristya', 'Relinquished']","Player A controls ""Relinquished"" equiped with Player B's ""Archlord Kristya"". Player B attacks ""Relinquished"" with a monster that would destroy ""Relinquished"" by battle, which destroys the equiped ""Archlord Kristya"".","Does ""Archlord Kristya"" return to the top of the Deck?",YES,"""Archlord Kristya"" will return to the top of the Deck, since it is still considered face-up on the field while being equiped to ""Relinquished"".",NO,"When ""Archlord Kristya"" is destroyed by battle while equipped to ""Relinquished"", it is sent to the Graveyard, not the top of the Deck.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A controls ""Relinquished"" equiped with Player B's ""Archlord Kristya"". Player B attacks ""Relinquished"" with a monster that would destroy ""Relinquished"" by battle, which destroys the equiped ""Archlord Kristya"".

### Query
Does ""Archlord Kristya"" return to the top of the Deck?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: When ""Archlord Kristya"" is destroyed by battle while equipped to ""Relinquished"", it is sent to the Graveyard, not the top of the Deck."
case_020,"['Gale Dogra', 'Monster Reborn']","Player A sends a Synchro monster to the Graveyard by the effect of ""Gale Dogra""","Can Player A use the effect of ""Monster Reborn"" to Special Summon this Synchro monster?",NO,"Player A cannot use the effect of ""Monster Reborn"" to Special Summon the Synchro monster from the Graveyard, because the Synchro monster has to be properly Special Summoned first, before it can be Special Summoned by another card's effect.",NO,"The effect of ""Monster Reborn"" can only Special Summon a monster from the Graveyard that was previously face-up on the field. Since Player A's Synchro monster was sent to the Graveyard by the effect of ""Gale Dogra,"" it was not face-up on the field when it was sent there, so ""Monster Reborn"" cannot be used to Special Summon it.","
You are acting as a Yu-Gi-Oh! Judge.
Answer the ruling question based only on the game state and your internal knowledge.
Give a YES or NO answer and a short explanation.

### Game State
Player A sends a Synchro monster to the Graveyard by the effect of ""Gale Dogra""

### Query
Can Player A use the effect of ""Monster Reborn"" to Special Summon this Synchro monster?

### Ruling Format
Decision: <YES/NO>
Explanation: <short explanation>

Decision: NO
Explanation: The effect of ""Monster Reborn"" can only Special Summon a monster from the Graveyard that was previously face-up on the field. Since Player A's Synchro monster was sent to the Graveyard by the effect of ""Gale Dogra,"" it was not face-up on the field when it was sent there, so ""Monster Reborn"" cannot be used to Special Summon it."
