id,game_state,query,expected_explanation,expected_decision,baseline_explanation,baseline_decision,rag1_exp,rag1_dec,rag3_exp,rag3_dec,rag5_exp,rag5_dec
case_011,"Player A controls a face-up ""Macro Cosmos"".","Can Player B activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field?","Since ""Macro Cosmos"" banishes all cards sent to the Graveyard, Player B are not able to pay the cost required by ""Mathmech Circular"" for summoning itself.",NO,"The effect of ""Macro Cosmos"" negates the activation of all card effects, except for Spell Speed 3 effects. Since ""Mathmech Circular"" is a Level 4 Effect Monster, its effect is of the Monster Type and is considered a Card Effect. Therefore, Player B cannot activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face up on the field.",NO,"The effect of ""Mathmech Circular"" that allows the player to send a ""Mathmech"" monster to the graveyard in order to special summon it from the hand is considered an effect that activates when a card leaves the field. Since ""Macro Cosmos"" is face-up on the field and prevents cards from being sent to the graveyard, the effect of ""Mathmech Circular"" cannot be activated.",NO,"The effect of ""Mathmech Circular"" that allows it to be Special Summoned from the hand requires the player to send a ""Mathmech"" monster from their Deck to the Graveyard. However, while ""Macro Cosmos"" is face-up on the field, any card sent to the Graveyard is banished instead, preventing the player from sending a ""Mathmech"" monster to the Graveyard and thus preventing the activation of the effect that allows the Special Summon of ""Mathmech Circular"".",NO,"The effect of ""Mathmech Circular"" requires the player to send a ""Mathmech"" monster from their Deck to their Graveyard as a cost to Special Summon the monster from their hand. However, while ""Macro Cosmos"" is face-up on the field, any card sent to the Graveyard is banished instead, preventing the player from sending a ""Mathmech"" monster to their Graveyard to activate the effect of ""Mathmech Circular"". Therefore, Player B cannot activate the first effect of ""Mathmech Circular"" while ""Macro Cosmos"" is face-up on the field.",NO
case_012,"Player A controls a face-up Beast-Type monster. Player B activates ""Raigeki"" and destroys the Beast-Type monster.","Can Player A Special Summon multiple ""Green Baboon, Defender of the Forest""?","Even though the effect of ""Green Baboon, Defender of the Forest"" is not an Only once per chain effect, Player A cannot Special Summon multiple ""Green Baboon, Defender of the Forest"", even if Player A has multiple copies of ""Green Baboon, Defender of the Forest"" in their Hand/Graveyard.",NO,"""Green Baboon, Defender of the Forest"" is a monster that can only be Special Summoned from the hand when a Beast-Type monster is destroyed by a card effect. Since Player A's Beast-Type monster was destroyed, Player A can Special Summon one ""Green Baboon, Defender of the Forest"" if they have it in their hand. However, they cannot Special Summon multiple ""Green Baboons"" in the same turn due to the normal summoning and special summoning limitations.",NO,"Player A cannot Special Summon multiple ""Green Baboon, Defender of the Forest"" because the effect of ""Green Baboon, Defender of the Forest"" can only be activated once per turn when a face-up Beast-Type monster they control is destroyed and sent to the Graveyard. Since Player A's Beast-Type monster was destroyed by ""Raigeki,"" the effect of ""Green Baboon, Defender of the Forest"" can only be activated once, allowing Player A to Special Summon one ""Green Baboon, Defender of the Forest"" from their hand or Graveyard.",NO,"Player A's Beast-Type monster was destroyed and sent to the Graveyard, but it was not properly Special Summoned before being destroyed. Therefore, Player A cannot Special Summon ""Green Baboon, Defender of the Forest"" using its effect.",NO,"Green Baboon, Defender of the Forest can only be Special Summoned from the hand or graveyard when a face-up Beast-Type monster you control is destroyed and sent to the graveyard (except during the Damage Step). Since Player A's Beast-Type monster was destroyed by Raigeki, it was not sent to the graveyard in the correct way for Player A to Special Summon Green Baboon, Defender of the Forest.",NO
case_013,"Player A's ""Peten the Dark Clown"" is destroyed by the effect of Player B's ""Soul Taker""","Can Player A activate the effect of ""Peten the Dark Clown""?","The effect of ""Peten the Dark Clown"" is a ""When...You can..."" effect, and misses timing due to the effect of ""Soul Taker"".",NO,"Once a card is destroyed, its effects cannot be activated.",NO,"The effect of ""Peten the Dark Clown"" can only be activated when it is sent to the Graveyard. Since it is destroyed by the effect of ""Soul Taker"", it is not sent to the Graveyard and therefore the effect cannot be activated.",NO,"The effect of ""Peten the Dark Clown"" can only be activated when it is sent to the Graveyard. Since it is already in the Graveyard when it is destroyed by the effect of ""Soul Taker"", the effect cannot be activated.",NO,"The effect of ""Peten the Dark Clown"" can only be activated when it is sent to the Graveyard. Since it was destroyed by the effect of ""Soul Taker,"" it was not sent to the Graveyard, but rather banished. Therefore, the effect cannot be activated.",NO
case_014,"Player A controls ""Formula Synchron"". Player B. controls ""Light and Darkness Dragon"" with the following stats ATK/DEF 2800/2400, and tries to leave Main Phase 1 and enter the Battle Phase.","Can Player A activate the quick effect of ""Formula Synchron"" multiple times?","The quick effect of ""Formula Synchron"" can be activated multiple times, just not on the same chain, each activation is negated by the quick effect of ""Light and Darkness Dragon"" until it no longer can pay the cost to activate the quick effect",YES,"The quick effect of ""Formula Synchron"" can only be activated once per turn. Since Player A has already activated it during their turn, they cannot activate it again during the Battle Phase.",NO,"The quick effect of ""Formula Synchron"" can only be activated once per chain, meaning it can only be activated once per turn. Since Player A has already activated it during their opponent's Main Phase, they cannot activate it again during the same Battle Phase.",NO,"The quick effect of ""Formula Synchron"" can only be activated once per chain during the opponent's Main Phase. It cannot be activated multiple times in the same turn, even if the opponent leaves Main Phase 1 and enters the Battle Phase.",NO,"The quick effect of ""Formula Synchron"" can only be activated once per chain during the opponent's main phase. Since Player A has already activated it during the opponent's main phase, they cannot activate it again.",NO
case_015,"Player A Normal Summons a monster, triggering the effect of Player B's ""Future Visions"". Player A chains ""Book of Moon"" targeting the Normal Summoned monster","Is the monster still banished by the effect of ""Future Vision""?","The monster still banished by the effect of ""Future Vision"" after being flipped face-down by ""Book of Moon"", since the target do not need to meet the target requirements at resolution, only when targeted.",YES,"The effect of ""Future Visions"" is a continuous effect that banishes a monster when a monster is Normal Summoned or Set. Once ""Book of Moon"" is activated, the effect of the Normal Summon is no longer being applied, and the monster is no longer considered to be Normal Summoned or Set. Therefore, the effect of ""Future Visions"" no longer applies and the monster is not banished.",NO,"The monster was banished by the effect of ""Future Visions"" when it was Normal Summoned. ""Book of Moon"" only changes the position of the monster, it does not prevent the effect of ""Future Visions"" from activating. Therefore, the monster is no longer on the field and is not considered to be Summoned, so it is not subject to the effect of ""Future Visions"" during the next Standby Phase.",NO,"The effect of ""Future Visions"" banishes the monster when it is Normal Summoned. ""Book of Moon"" changes the position of the monster, it does not change the status of the monster. Since the monster is no longer on the field when it is changed to face-down Defense Position by ""Book of Moon"", the effect of ""Future Visions"" does not activate and the monster is not banished.",NO,"The effect of ""Future Visions"" banishes the monster when it is Normal Summoned. When Player A Normal Summons a monster, the effect of ""Future Visions"" is activated and the monster is banished. However, when Player A chains ""Book of Moon"" targeting the Normal Summoned monster, the monster is changed to face-down Defense Position instead of being banished. Since the monster is no longer on the field when the next Standby Phase occurs, the effect of ""Future Visions"" does not have a chance to return it to the field. Therefore, the monster is not returned to the field in the next Standby Phase and is not considered to be under the effect of ""Future Visions"".",NO
case_016,"Player A controls ""Spirit Reaper"". Player B activates ""Book of Moon"" targeting ""Spirit Reaper"".","Is ""Spirit Reaper"" destroyed?","""Spirit Reaper"" is face-down after the effect of ""Book of Moon"" finishes resolving, so ""Spirit Reaper"" is not destroyed.",NO,"""Book of Moon"" only turns a monster face-down, it does not destroy it.",NO,"""Spirit Reaper"" is not destroyed. The effect of ""Book of Moon"" changes the face-up status of ""Spirit Reaper"" to face-down Defense Position. This is not considered as destroying the card.",NO,"""Spirit Reaper"" is not destroyed. The effect of ""Book of Moon"" changes the face-up status of ""Spirit Reaper"" to face-down Defense Position. The card itself is still on the field and is not considered destroyed.",NO,"""Spirit Reaper"" is not destroyed. The effect of ""Book of Moon"" only changes the face-up status of ""Spirit Reaper"" to face-down Defense Position. The card itself remains on the field.",NO
case_017,"Player A Flip Summons a ""Karakuri"" monster, while controlling a face-up ""Karakuri Anatomy"".","Will a Karakuri Counter be placed on ""Karakuri Anatomy""?",Flip Summmoning a monster counts as changing its battle position.,YES,"When a ""Karakuri"" monster is Flip Summoned, if the controller of ""Karakuri Anatomy"" in their Graveyard is sent there by the effect of that monster, a Karakuri Counter is placed on ""Karakuri Anatomy"". In this case, Player A Flip Summoned a ""Karakuri"" monster, and ""Karakuri Anatomy"" was sent to the Graveyard by that monster's effect. Therefore, a Karakuri Counter is placed on ""Karakuri Anatomy"".",YES,"When a ""Karakuri"" monster is Flip Summoned, the battle position is changed, triggering the effect of ""Karakuri Anatomy"" to place a Karakuri Counter on it.",YES,"The text of ""Karakuri Anatomy"" states that each time a ""Karakuri"" monster's battle position is changed, a Karakuri Counter is placed on this card. Since Player A Flip Summoned a ""Karakuri"" monster, the battle position of the monster was changed, triggering the effect of ""Karakuri Anatomy"" to place a Karakuri Counter on it.",YES,"The text of ""Karakuri Anatomy"" states that each time a ""Karakuri"" monster's battle position is changed, a Karakuri Counter is placed on the card. Since Player A Flip Summoned a ""Karakuri"" monster, the battle position of the monster was changed, triggering the effect of ""Karakuri Anatomy"" to place a Karakuri Counter on it.",YES
case_018,"Player A controls a set ""Torrential Tribute"" and declares a direct attack on Player B. Player B Special Summons ""Battle Fader""","Can Player A activate ""Torrential Tribute""?","When Player B resolve the effect of ""Battle Fader"" they Special Summon ""Battle Fader"" and then end the Battle Phase. ""Torrential Tribute"" cannot be activated because ending the Battle Phase is the last thing to happen.",NO,"Torrential Tribute can only be activated when a player declares an attack, but the attack has not yet resolved. Since Player B has already Special Summoned Battle Fader in response to the attack declaration, the attack has already resolved and Torrential Tribute cannot be activated.",NO,"Torrential Tribute can only be activated during the opponent's turn when a monster(s) is Summoned. Player A declared an attack before Player B Special Summoned Battle Fader, so there was no monster Summoned for Player A to activate Torrential Tribute.",NO,"The player cannot activate ""Torrential Tribute"" because the Battle Phase has ended. ""Battle Fader"" was Special Summoned in response to the attack declaration, so the attack is now resolved and the Battle Phase has ended. ""Torrential Tribute"" can only be activated during the opponent's turn when a monster(s) is Summoned, and since ""Battle Fader"" was Special Summoned in response to an attack, it is not considered a Summon for the purpose of activating ""Torrential Tribute"".",NO,"Torrential Tribute can only be activated during the opponent's turn when a monster(s) is Summoned. Player A declared an attack before Player B Special Summoned Battle Fader, so Torrential Tribute cannot be activated.",NO
case_019,"Player A controls ""Relinquished"" equiped with Player B's ""Archlord Kristya"". Player B attacks ""Relinquished"" with a monster that would destroy ""Relinquished"" by battle, which destroys the equiped ""Archlord Kristya"".","Does ""Archlord Kristya"" return to the top of the Deck?","""Archlord Kristya"" will return to the top of the Deck, since it is still considered face-up on the field while being equiped to ""Relinquished"".",YES,"When ""Archlord Kristya"" is destroyed by battle while equipped to ""Relinquished"", it is sent to the Graveyard, not the top of the Deck.",NO,"The text of ""Archlord Kristya"" states that if it is sent from the field to the graveyard, it is placed on top of the deck instead. The monster was destroyed by battle, and the equipped ""Archlord Kristya"" was destroyed along with it. Therefore, ""Archlord Kristya"" was not sent to the graveyard, but rather placed on top of the deck. The card is not returned to the top of the deck when it is destroyed by battle, but rather when it would be sent to the graveyard.",NO,"The text of ""Archlord Kristya"" states that if it is sent from the field to the Graveyard, it should be placed on top of the Deck instead. The monster ""Relinquished"" was destroyed by battle, and the equipped ""Archlord Kristya"" was destroyed along with it. Since ""Archlord Kristya"" was not sent to the Graveyard by a card effect, it does not return to the top of the Deck.",NO,"""Archlord Kristya"" is not returned to the top of the Deck when it is destroyed by battle while equipped to ""Relinquished"". The card text of ""Archlord Kristya"" states that if it would be sent from the field to the Graveyard, it should be placed on top of the Deck instead. However, when ""Archlord Kristya"" is destroyed by battle while equipped to ""Relinquished"", ""Relinquished"" is destroyed instead, and ""Archlord Kristya"" is not considered to be sent from the field to the Graveyard. Instead, it is destroyed along with ""Relinquished"". Therefore, the effect of ""Archlord Kristya"" that places it on top of the Deck when it would be sent to the Graveyard does not apply in this situation.",NO
case_020,"Player A sends a Synchro monster to the Graveyard by the effect of ""Gale Dogra""","Can Player A use the effect of ""Monster Reborn"" to Special Summon this Synchro monster?","Player A cannot use the effect of ""Monster Reborn"" to Special Summon the Synchro monster from the Graveyard, because the Synchro monster has to be properly Special Summoned first, before it can be Special Summoned by another card's effect.",NO,"The effect of ""Monster Reborn"" can only Special Summon a monster from the Graveyard that was previously face-up on the field. Since Player A's Synchro monster was sent to the Graveyard by the effect of ""Gale Dogra,"" it was not face-up on the field when it was sent there, so ""Monster Reborn"" cannot be used to Special Summon it.",NO,"The effect of ""Gale Dogra"" sends a Synchro monster from the Extra Deck to the Graveyard, but it does not Synchro Summon it. The effect of ""Monster Reborn"" requires a monster in the Graveyard to be Special Summoned, but the Synchro monster sent to the Graveyard by ""Gale Dogra"" cannot be Special Summoned by ""Monster Reborn"" because it was not originally on the field.",NO,"Since Player A sent the Synchro monster to the Graveyard by the effect of ""Gale Dogra"" without properly Synchro Summoning it first, Player A cannot use the effect of ""Monster Reborn"" to Special Summon this Synchro monster.",NO,"The Synchro monster was not properly Special Summoned first, it was sent to the Graveyard by the effect of another card. Therefore, it cannot be Special Summoned by the effect of ""Monster Reborn"".",NO
